UniProt	Protein	Gene	Description	Infected_8h_1	Infected_8h_2	Infected_8h_3	Infected_8h_4	Infected_8h_5	Mock_8h_1	Mock_8h_2	Mock_8h_3	Mock_8h_4	Mock_8h_5	Infected_16h_1	Infected_16h_2	Infected_16h_3	Infected_16h_4	Infected_16h_5	Mock_16h_1	Mock_16h_2	Mock_16h_3	Mock_16h_4	Mock_16h_5	Infected_24h_1	Infected_24h_2	Infected_24h_3	Infected_24h_4	Infected_24h_5	Mock_24h_1	Mock_24h_2	Mock_24h_3	Mock_24h_4	Mock_24h_5
A0A0B4J2D5	GAL3B_HUMAN	GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	0.0	0.0	0.0	0.0	37703968.0	0.0	22211450.0	0.0	32072758.0	0.0	0.0	0.0	33819048.0	32533846.0	38568008.0	28097318.0	0.0	0.0	36912188.0	38018860.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21319284.0	0.0
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	49238484.0	58784000.0	0.0	76771896.0	55070268.0	61287728.0	50331480.0	50393140.0	56177152.0	56750372.0	59766188.0	55906828.0	49752848.0	57763084.0	0.0	78583648.0	59668216.0	64451268.0	52775692.0	103250336.0	79806680.0	71507184.0	82699048.0	73156208.0	80930392.0	69502376.0	66222256.0	74266952.0	78938808.0	78809280.0
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0JNW5	BLT3B_HUMAN	BLTP3B	Bridge-like lipid transfer protein family member 3B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	22735842.0	27757208.0	0.0	38613108.0	0.0	42085388.0	43216656.0	39136728.0	40015660.0	30675000.0	31916394.0	30891374.0	0.0	32460884.0	45866324.0	33034036.0	35196636.0	42415100.0	29791632.0	0.0	59073228.0	26468436.0	34273736.0	38910728.0	39447024.0	23576924.0	35139656.0	46191652.0	35731736.0	36763028.0
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	23055918.0	32739030.0	23872366.0	45648020.0	37347652.0	27383044.0	41313656.0	42484760.0	29286192.0	35401752.0	24097752.0	26025406.0	25732180.0	22873418.0	27753524.0	35284456.0	28048358.0	35395336.0	27837410.0	42777120.0	31689154.0	31955150.0	32705916.0	35613888.0	47818644.0	40617156.0	44060604.0	43304340.0	50518300.0	32605224.0
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	86055528.0	0.0	98469728.0	171785712.0	104459944.0	115659576.0	131499432.0	76213936.0	186553824.0	150920528.0	166878672.0	109491080.0	0.0	154178912.0	139075632.0	121230664.0	76999856.0	0.0	110577008.0	149003424.0	127960824.0	88960352.0	98423680.0	117478200.0	98332848.0	60965632.0	190728976.0	161165056.0	0.0	235383216.0
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	0.0	0.0	25032670.0	22649316.0	0.0	29373218.0	0.0	0.0	32407202.0	0.0	0.0	0.0	0.0	0.0	25156008.0	20867220.0	0.0	0.0	0.0	0.0	25891418.0	24808536.0	26222870.0	29986656.0	0.0	22689112.0	0.0	31503942.0	0.0	44881692.0
A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	0.0	0.0	0.0	0.0	0.0	0.0	187871456.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124010328.0	125645200.0	0.0	0.0	0.0	0.0	167425504.0	0.0	0.0	0.0	0.0	0.0	0.0	114716448.0	139926960.0	0.0
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	0.0	0.0	22578030.0	23996968.0	0.0	20641660.0	14143932.0	0.0	17068734.0	0.0	0.0	21503742.0	16885780.0	25904880.0	33965252.0	11143312.0	19549008.0	0.0	27551846.0	23602074.0	15463637.0	22393482.0	24229868.0	26109960.0	57981248.0	26493834.0	0.0	41475568.0	32026010.0	24980896.0
A6NHT5	HMX3_HUMAN	HMX3	Homeobox protein HMX3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11433928.0	0.0	0.0	21405356.0	0.0	0.0	0.0	0.0	0.0	17466658.0	0.0
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A8MXQ7	IQAK1_HUMAN	IQANK1	IQ motif and ankyrin repeat domain-containing protein 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4AMC7	WASH3_HUMAN	WASH3P	Putative WAS protein family homolog 3	21391558.0	30249022.0	0.0	0.0	17358696.0	0.0	0.0	0.0	0.0	24435594.0	21055278.0	0.0	0.0	16737520.0	0.0	0.0	18759560.0	18168056.0	17087176.0	34252708.0	0.0	22430210.0	19148392.0	0.0	0.0	26286388.0	19518244.0	24144186.0	28560356.0	23557584.0
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	50268648.0	0.0	34249976.0	0.0	34426276.0	52838168.0	27976408.0	32879362.0	37734580.0	0.0	0.0	43036512.0	0.0	33445608.0	0.0	0.0	0.0	34627592.0	0.0	50247884.0	0.0	0.0	0.0	31702068.0	0.0	78188528.0	57458160.0	55151648.0	76054520.0	0.0
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	249678800.0	400823904.0	417034336.0	372756768.0	279878528.0	408850944.0	285949280.0	438364320.0	446824640.0	452815872.0	438666272.0	327607840.0	426028224.0	383954208.0	385459328.0	332774464.0	342782944.0	332752224.0	394888992.0	325104416.0	330996128.0	299371680.0	335774688.0	325516000.0	314050432.0	382183168.0	310279008.0	377991200.0	287895712.0	329279232.0
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	0.0	0.0	0.0	44938140.0	0.0	0.0	0.0	0.0	54651716.0	0.0	0.0	30994402.0	0.0	0.0	0.0	23678272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H7BZ55	CRCC2_HUMAN	CROCC2	Ciliary rootlet coiled-coil protein 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	0.0	0.0	0.0	0.0	84096024.0	114415864.0	122434680.0	0.0	203907888.0	90841032.0	187840080.0	190520752.0	0.0	263398784.0	0.0	154762800.0	121398872.0	203766528.0	166610048.0	186944400.0	167516064.0	181280448.0	176914240.0	216969120.0	139455472.0	173564560.0	202100560.0	172411392.0	182042080.0	180349184.0
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	0.0	0.0	18849580.0	33919472.0	0.0	24050320.0	22319746.0	33300670.0	19305872.0	35131740.0	0.0	16305338.0	25869860.0	0.0	0.0	20334120.0	23741560.0	25244118.0	26059424.0	45315220.0	29707478.0	0.0	35782864.0	26656786.0	30391670.0	26127510.0	36374632.0	28140958.0	31244466.0	32458682.0
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	0.0	0.0	0.0	151251728.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41822096.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69733432.0	0.0	0.0	0.0
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	655390910.0	606926270.0	587100100.0	692242940.0	521465344.0	508665312.0	641951040.0	575653060.0	474616256.0	601328130.0	645796420.0	630020860.0	638289540.0	633148610.0	744736960.0	815791550.0	633816060.0	694607170.0	611573570.0	599900540.0	601866880.0	592867460.0	741929980.0	558404220.0	680594240.0	595574530.0	669202370.0	738668540.0	620004540.0	627532420.0
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	159824416.0	172553424.0	108523800.0	208834240.0	102022312.0	161955376.0	163803056.0	152670800.0	166072304.0	202564144.0	175937456.0	152974704.0	95836656.0	125607896.0	142458464.0	179301344.0	164159968.0	170318384.0	131361824.0	175485072.0	217525680.0	161590640.0	175613312.0	194829776.0	228565552.0	149315584.0	174619824.0	172497824.0	198078976.0	183429312.0
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	64665416.0	98796160.0	97041184.0	97383024.0	64820188.0	54763180.0	55586068.0	48512396.0	39472976.0	87795704.0	99060936.0	108928736.0	122536096.0	111286816.0	117154744.0	35934504.0	39743924.0	49646872.0	41557260.0	76411112.0	112789952.0	110125048.0	101916712.0	118308800.0	145734400.0	75004304.0	84256776.0	89090944.0	85143104.0	75407560.0
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	56948384.0	0.0	0.0	0.0	69707192.0	96375032.0	0.0	40999312.0	65057980.0	61214764.0	46422204.0	67144200.0	0.0	0.0	105533656.0	0.0	84193960.0	56821064.0	97060600.0	0.0	34639596.0	116946224.0	57062320.0	0.0	41476876.0	68911296.0	75949120.0	64420360.0	85977104.0	41970748.0
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	23732720.0	0.0	0.0	0.0	14146120.0	11840836.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15409044.0	0.0	0.0	0.0	20221560.0	0.0	0.0	0.0	0.0
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00193	SMAP_HUMAN	SMAP	Small acidic protein	94500008.0	50391044.0	65758868.0	92332968.0	83864712.0	60332328.0	58509888.0	69264272.0	54526036.0	63256152.0	55234012.0	76688552.0	76899592.0	93361432.0	60233120.0	74299448.0	60243712.0	57356688.0	66014356.0	46435412.0	70606912.0	67189000.0	103626832.0	74475584.0	72069352.0	69192160.0	73658904.0	57618428.0	65398080.0	62769688.0
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	73491456.0	75475280.0	84942216.0	119849904.0	74451064.0	94250256.0	81606920.0	103472384.0	100579544.0	90667296.0	102405152.0	95492688.0	109869416.0	92365200.0	94598568.0	100025744.0	94560960.0	107040128.0	118839104.0	98023240.0	125823568.0	103749816.0	120652056.0	108337544.0	123632816.0	108481072.0	112174888.0	112553792.0	132354512.0	128119760.0
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	191505312.0	170456448.0	247889600.0	262403744.0	184996096.0	281111136.0	148591456.0	246223040.0	194243824.0	309388288.0	236807904.0	250485776.0	282052352.0	256703232.0	250433088.0	231399696.0	237188576.0	234350448.0	321748096.0	327030912.0	255887664.0	283422720.0	246157808.0	261520672.0	342898080.0	331607424.0	297459872.0	302612896.0	287785632.0	333998304.0
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	80866608.0	108082512.0	138870368.0	135525904.0	110360888.0	105331104.0	105996720.0	135534576.0	139839072.0	152535168.0	169811024.0	133183528.0	175427072.0	173865088.0	167515696.0	132911648.0	139026032.0	132560072.0	114892976.0	139595536.0	189174864.0	188264960.0	176266192.0	184150944.0	172974416.0	136627904.0	180752864.0	162971360.0	179128416.0	191433744.0
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	0.0	100447200.0	56962544.0	47138060.0	0.0	0.0	36954184.0	40566996.0	29003868.0	0.0	0.0	71761976.0	29085380.0	24971704.0	51357416.0	46930132.0	0.0	34920336.0	43939672.0	43631924.0	33173766.0	83548376.0	78186600.0	28426498.0	83222656.0	34731312.0	58577204.0	54622832.0	38547336.0	44294160.0
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	72465096.0	0.0	58440704.0	98734184.0	30898874.0	93192872.0	0.0	50791668.0	67413000.0	37512044.0	0.0	66288808.0	67829216.0	42247400.0	0.0	0.0	94808680.0	50289488.0	46450084.0	94365648.0	50950176.0	94719448.0	73007520.0	0.0	107718200.0	77344208.0	0.0	90268568.0	112319176.0	77374360.0
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	0.0	0.0	0.0	0.0	0.0	10456603.0	0.0	0.0	14118286.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28683436.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	33492068.0	38060864.0	38674768.0	37977112.0	27874284.0	30117174.0	36126724.0	28215710.0	24152984.0	32840192.0	0.0	28597712.0	33003732.0	28424756.0	46046392.0	28570050.0	22643252.0	32035806.0	29150980.0	43400896.0	24311212.0	34193328.0	32242038.0	35288412.0	31454640.0	28543066.0	27629872.0	30430784.0	29668624.0	28915278.0
