comparison,metric,nonmissing,min,median,threshold_count
Infected_8h/Mock_8h,pval,42145,1.5218172061076184e-08,0.1976603355505995,11147
Infected_8h/Mock_8h,adj-p,42145,0.0001279391725174,0.4032537751272605,2773
Infected_16h/Mock_16h,pval,42161,6.464149911762323e-09,0.1158442304759806,15245
Infected_16h/Mock_16h,adj-p,42161,8.469753059397032e-05,0.2320474674498643,5792
Infected_24h/Mock_24h,pval,42187,3.1899176358910213e-10,0.0946263950432839,17061
Infected_24h/Mock_24h,adj-p,42187,2.6817637564935815e-06,0.1911243156431766,9760
Infected_16h/Infected_8h,pval,42201,1.9255717652480543e-08,0.2633683399930634,9027
Infected_16h/Infected_8h,adj-p,42201,0.0001618828183044,0.5298002720529436,1003
Infected_24h/Infected_8h,pval,42186,1.0098219364280806e-09,0.29936906698614846,9439
Infected_24h/Infected_8h,adj-p,42186,1.0511162352065692e-05,0.6023230386461651,3707
Infected_24h/Infected_16h,pval,42195,1.9419400632569177e-08,0.2312392253742674,10653
Infected_24h/Infected_16h,adj-p,42195,0.0003074018226601,0.475858565568643,2874
